"gutenberg_id" "text"
766 "My mother had a sure foreboding at the second glance, that it was"
766 "Miss Betsey. The setting sun was glowing on the strange lady, over the"
766 "garden-fence, and she came walking up to the door with a fell rigidity"
766 "of figure and composure of countenance that could have belonged to"
766 "nobody else."
766 ""
766 "When she reached the house, she gave another proof of her identity."
766 "My father had often hinted that she seldom conducted herself like any"
766 "ordinary Christian; and now, instead of ringing the bell, she came and"
766 "looked in at that identical window, pressing the end of her nose against"
766 "the glass to that extent, that my poor dear mother used to say it became"
766 "perfectly flat and white in a moment."
766 ""
766 "She gave my mother such a turn, that I have always been convinced I am"
766 "indebted to Miss Betsey for having been born on a Friday."
766 ""
766 "My mother had left her chair in her agitation, and gone behind it in"
766 "the corner. Miss Betsey, looking round the room, slowly and inquiringly,"
766 "began on the other side, and carried her eyes on, like a Saracen's Head"
766 "in a Dutch clock, until they reached my mother. Then she made a frown"
766 "and a gesture to my mother, like one who was accustomed to be obeyed, to"
766 "come and open the door. My mother went."
766 ""
766 "'Mrs. David Copperfield, I think,' said Miss Betsey; the emphasis"
766 "referring, perhaps, to my mother's mourning weeds, and her condition."
766 ""
766 "'Yes,' said my mother, faintly."
766 ""
766 "'Miss Trotwood,' said the visitor. 'You have heard of her, I dare say?'"
766 ""
766 "My mother answered she had had that pleasure. And she had a disagreeable"
766 "consciousness of not appearing to imply that it had been an overpowering"
766 "pleasure."
766 ""
766 "'Now you see her,' said Miss Betsey. My mother bent her head, and begged"
766 "her to walk in."
766 ""
766 "They went into the parlour my mother had come from, the fire in the best"
766 "room on the other side of the passage not being lighted--not having"
766 "been lighted, indeed, since my father's funeral; and when they were both"
766 "seated, and Miss Betsey said nothing, my mother, after vainly trying to"
766 "restrain herself, began to cry. 'Oh tut, tut, tut!' said Miss Betsey, in"
766 "a hurry. 'Don't do that! Come, come!'"
766 ""
766 "My mother couldn't help it notwithstanding, so she cried until she had"
766 "had her cry out."
766 ""
766 "'Take off your cap, child,' said Miss Betsey, 'and let me see you.'"
766 ""
766 "My mother was too much afraid of her to refuse compliance with this odd"
766 "request, if she had any disposition to do so. Therefore she did as she"
766 "was told, and did it with such nervous hands that her hair (which was"
766 "luxuriant and beautiful) fell all about her face."
766 ""
766 "'Why, bless my heart!' exclaimed Miss Betsey. 'You are a very Baby!'"
766 ""
766 "My mother was, no doubt, unusually youthful in appearance even for her"
766 "years; she hung her head, as if it were her fault, poor thing, and said,"
766 "sobbing, that indeed she was afraid she was but a childish widow, and"
766 "would be but a childish mother if she lived. In a short pause which"
766 "ensued, she had a fancy that she felt Miss Betsey touch her hair, and"
766 "that with no ungentle hand; but, looking at her, in her timid hope, she"
766 "found that lady sitting with the skirt of her dress tucked up, her hands"
766 "folded on one knee, and her feet upon the fender, frowning at the fire."
766 ""
766 "'In the name of Heaven,' said Miss Betsey, suddenly, 'why Rookery?'"
766 ""
766 "'Do you mean the house, ma'am?' asked my mother."
766 ""
766 "'Why Rookery?' said Miss Betsey. 'Cookery would have been more to the"
766 "purpose, if you had had any practical ideas of life, either of you.'"
766 ""
766 "'The name was Mr. Copperfield's choice,' returned my mother. 'When he"
766 "bought the house, he liked to think that there were rooks about it.'"
766 ""
766 "The evening wind made such a disturbance just now, among some tall old"
766 "elm-trees at the bottom of the garden, that neither my mother nor Miss"
766 "Betsey could forbear glancing that way. As the elms bent to one another,"
766 "like giants who were whispering secrets, and after a few seconds of such"
766 "repose, fell into a violent flurry, tossing their wild arms about, as if"
766 "their late confidences were really too wicked for their peace of mind,"
766 "some weatherbeaten ragged old rooks'-nests, burdening their higher"
766 "branches, swung like wrecks upon a stormy sea."
766 ""
766 "'Where are the birds?' asked Miss Betsey."
766 ""
766 "'The--?' My mother had been thinking of something else."
766 ""
766 "'The rooks--what has become of them?' asked Miss Betsey."
766 ""
766 "'There have not been any since we have lived here,' said my mother. 'We"
766 "thought--Mr. Copperfield thought--it was quite a large rookery; but"
766 "the nests were very old ones, and the birds have deserted them a long"
766 "while.'"
766 ""
766 "'David Copperfield all over!' cried Miss Betsey. 'David Copperfield from"
766 "head to foot! Calls a house a rookery when there's not a rook near it,"
766 "and takes the birds on trust, because he sees the nests!'"
766 ""
766 "'Mr. Copperfield,' returned my mother, 'is dead, and if you dare to"
766 "speak unkindly of him to me--'"
766 ""
766 "My poor dear mother, I suppose, had some momentary intention of"
766 "committing an assault and battery upon my aunt, who could easily have"
766 "settled her with one hand, even if my mother had been in far better"
766 "training for such an encounter than she was that evening. But it passed"
766 "with the action of rising from her chair; and she sat down again very"
766 "meekly, and fainted."
766 ""
766 "When she came to herself, or when Miss Betsey had restored her,"
766 "whichever it was, she found the latter standing at the window. The"
766 "twilight was by this time shading down into darkness; and dimly as they"
766 "saw each other, they could not have done that without the aid of the"
766 "fire."
766 ""
766 "'Well?' said Miss Betsey, coming back to her chair, as if she had only"
766 "been taking a casual look at the prospect; 'and when do you expect--'"
766 ""
766 "'I am all in a tremble,' faltered my mother. 'I don't know what's the"
766 "matter. I shall die, I am sure!'"
766 ""
766 "'No, no, no,' said Miss Betsey. 'Have some tea.'"
766 ""
766 "'Oh dear me, dear me, do you think it will do me any good?' cried my"
766 "mother in a helpless manner."
766 ""
766 "'Of course it will,' said Miss Betsey. 'It's nothing but fancy. What do"
766 "you call your girl?'"
766 ""
766 "'I don't know that it will be a girl, yet, ma'am,' said my mother"
766 "innocently."
766 ""
766 "'Bless the Baby!' exclaimed Miss Betsey, unconsciously quoting the"
766 "second sentiment of the pincushion in the drawer upstairs, but"
766 "applying it to my mother instead of me, 'I don't mean that. I mean your"
766 "servant-girl.'"
766 ""
766 "'Peggotty,' said my mother."
766 ""
766 "'Peggotty!' repeated Miss Betsey, with some indignation. 'Do you mean to"
766 "say, child, that any human being has gone into a Christian church,"
766 "and got herself named Peggotty?' 'It's her surname,' said my mother,"
766 "faintly. 'Mr. Copperfield called her by it, because her Christian name"
766 "was the same as mine.'"
766 ""
766 "'Here! Peggotty!' cried Miss Betsey, opening the parlour door. 'Tea."
766 "Your mistress is a little unwell. Don't dawdle.'"
766 ""
766 "Having issued this mandate with as much potentiality as if she had been"
766 "a recognized authority in the house ever since it had been a house,"
766 "and having looked out to confront the amazed Peggotty coming along the"
766 "passage with a candle at the sound of a strange voice, Miss Betsey shut"
766 "the door again, and sat down as before: with her feet on the fender, the"
766 "skirt of her dress tucked up, and her hands folded on one knee."
766 ""
766 "'You were speaking about its being a girl,' said Miss Betsey. 'I have no"
766 "doubt it will be a girl. I have a presentiment that it must be a girl."
766 "Now child, from the moment of the birth of this girl--'"
766 ""
766 "'Perhaps boy,' my mother took the liberty of putting in."
766 ""
766 "'I tell you I have a presentiment that it must be a girl,' returned Miss"
766 "Betsey. 'Don't contradict. From the moment of this girl's birth, child,"
766 "I intend to be her friend. I intend to be her godmother, and I beg"
766 "you'll call her Betsey Trotwood Copperfield. There must be no mistakes"
766 "in life with THIS Betsey Trotwood. There must be no trifling with HER"
766 "affections, poor dear. She must be well brought up, and well guarded"
766 "from reposing any foolish confidences where they are not deserved. I"
766 "must make that MY care.'"
766 ""
766 "There was a twitch of Miss Betsey's head, after each of these sentences,"
766 "as if her own old wrongs were working within her, and she repressed any"
766 "plainer reference to them by strong constraint. So my mother suspected,"
766 "at least, as she observed her by the low glimmer of the fire: too"
766 "much scared by Miss Betsey, too uneasy in herself, and too subdued and"
766 "bewildered altogether, to observe anything very clearly, or to know what"
766 "to say."
766 ""
766 "'And was David good to you, child?' asked Miss Betsey, when she had been"
766 "silent for a little while, and these motions of her head had gradually"
766 "ceased. 'Were you comfortable together?'"
766 ""
766 "'We were very happy,' said my mother. 'Mr. Copperfield was only too good"
766 "to me.'"
766 ""
766 "'What, he spoilt you, I suppose?' returned Miss Betsey."
766 ""
766 "'For being quite alone and dependent on myself in this rough world"
766 "again, yes, I fear he did indeed,' sobbed my mother."
766 ""
766 "'Well! Don't cry!' said Miss Betsey. 'You were not equally matched,"
766 "child--if any two people can be equally matched--and so I asked the"
766 "question. You were an orphan, weren't you?' 'Yes.'"
766 ""
766 "'And a governess?'"
766 ""
766 "'I was nursery-governess in a family where Mr. Copperfield came to"
766 "visit. Mr. Copperfield was very kind to me, and took a great deal of"
766 "notice of me, and paid me a good deal of attention, and at last proposed"
766 "to me. And I accepted him. And so we were married,' said my mother"
766 "simply."
766 ""
766 "'Ha! Poor Baby!' mused Miss Betsey, with her frown still bent upon the"
766 "fire. 'Do you know anything?'"
766 ""
766 "'I beg your pardon, ma'am,' faltered my mother."
766 ""
766 "'About keeping house, for instance,' said Miss Betsey."
766 ""
766 "'Not much, I fear,' returned my mother. 'Not so much as I could wish."
766 "But Mr. Copperfield was teaching me--'"
766 ""
766 "('Much he knew about it himself!') said Miss Betsey in a parenthesis."
766 "--'And I hope I should have improved, being very anxious to learn, and"
766 "he very patient to teach me, if the great misfortune of his death'--my"
766 "mother broke down again here, and could get no farther."
766 ""
766 "'Well, well!' said Miss Betsey. --'I kept my housekeeping-book"
766 "regularly, and balanced it with Mr. Copperfield every night,' cried my"
766 "mother in another burst of distress, and breaking down again."
766 ""
766 "'Well, well!' said Miss Betsey. 'Don't cry any more.' --'And I am"
766 "sure we never had a word of difference respecting it, except when Mr."
766 "Copperfield objected to my threes and fives being too much like each"
766 "other, or to my putting curly tails to my sevens and nines,' resumed my"
766 "mother in another burst, and breaking down again."
766 ""
766 "'You'll make yourself ill,' said Miss Betsey, 'and you know that will"
766 "not be good either for you or for my god-daughter. Come! You mustn't do"
766 "it!'"
766 ""
766 "This argument had some share in quieting my mother, though her"
766 "increasing indisposition had a larger one. There was an interval of"
766 "silence, only broken by Miss Betsey's occasionally ejaculating 'Ha!' as"
766 "she sat with her feet upon the fender."
766 ""
766 "'David had bought an annuity for himself with his money, I know,' said"
766 "she, by and by. 'What did he do for you?'"
766 ""
766 "'Mr. Copperfield,' said my mother, answering with some difficulty, 'was"
766 "so considerate and good as to secure the reversion of a part of it to"
766 "me.'"
766 ""
766 "'How much?' asked Miss Betsey."
766 ""
766 "'A hundred and five pounds a year,' said my mother."
766 ""
766 "'He might have done worse,' said my aunt."
766 ""
766 "The word was appropriate to the moment. My mother was so much worse"
766 "that Peggotty, coming in with the teaboard and candles, and seeing at a"
766 "glance how ill she was,--as Miss Betsey might have done sooner if there"
766 "had been light enough,--conveyed her upstairs to her own room with all"
766 "speed; and immediately dispatched Ham Peggotty, her nephew, who had been"
766 "for some days past secreted in the house, unknown to my mother, as a"
766 "special messenger in case of emergency, to fetch the nurse and doctor."
766 ""
766 "Those allied powers were considerably astonished, when they arrived"
766 "within a few minutes of each other, to find an unknown lady of"
766 "portentous appearance, sitting before the fire, with her bonnet tied"
766 "over her left arm, stopping her ears with jewellers' cotton. Peggotty"
766 "knowing nothing about her, and my mother saying nothing about her,"
766 "she was quite a mystery in the parlour; and the fact of her having a"
766 "magazine of jewellers' cotton in her pocket, and sticking the article"
766 "in her ears in that way, did not detract from the solemnity of her"
766 "presence."
766 ""
766 "The doctor having been upstairs and come down again, and having"
766 "satisfied himself, I suppose, that there was a probability of this"
766 "unknown lady and himself having to sit there, face to face, for some"
766 "hours, laid himself out to be polite and social. He was the meekest of"
766 "his sex, the mildest of little men. He sidled in and out of a room, to"
766 "take up the less space. He walked as softly as the Ghost in Hamlet,"
766 "and more slowly. He carried his head on one side, partly in modest"
766 "depreciation of himself, partly in modest propitiation of everybody"
766 "else. It is nothing to say that he hadn't a word to throw at a dog. He"
766 "couldn't have thrown a word at a mad dog. He might have offered him one"
766 "gently, or half a one, or a fragment of one; for he spoke as slowly as"
766 "he walked; but he wouldn't have been rude to him, and he couldn't have"
766 "been quick with him, for any earthly consideration."
766 ""
766 "Mr. Chillip, looking mildly at my aunt with his head on one side, and"
766 "making her a little bow, said, in allusion to the jewellers' cotton, as"
766 "he softly touched his left ear:"
766 ""
766 "'Some local irritation, ma'am?'"
766 ""
766 "'What!' replied my aunt, pulling the cotton out of one ear like a cork."
766 ""
766 "Mr. Chillip was so alarmed by her abruptness--as he told my mother"
766 "afterwards--that it was a mercy he didn't lose his presence of mind. But"
766 "he repeated sweetly:"
766 ""
766 "'Some local irritation, ma'am?'"
766 ""
766 "'Nonsense!' replied my aunt, and corked herself again, at one blow."
766 ""
766 "Mr. Chillip could do nothing after this, but sit and look at her feebly,"
766 "as she sat and looked at the fire, until he was called upstairs again."
766 "After some quarter of an hour's absence, he returned."
766 ""
766 "'Well?' said my aunt, taking the cotton out of the ear nearest to him."
766 ""
766 "'Well, ma'am,' returned Mr. Chillip, 'we are--we are progressing slowly,"
766 "ma'am.'"
766 ""
766 "'Ba--a--ah!' said my aunt, with a perfect shake on the contemptuous"
766 "interjection. And corked herself as before."
766 ""
766 "Really--really--as Mr. Chillip told my mother, he was almost shocked;"
766 "speaking in a professional point of view alone, he was almost shocked."
766 "But he sat and looked at her, notwithstanding, for nearly two hours,"
766 "as she sat looking at the fire, until he was again called out. After"
766 "another absence, he again returned."
766 ""
766 "'Well?' said my aunt, taking out the cotton on that side again."
766 ""
766 "'Well, ma'am,' returned Mr. Chillip, 'we are--we are progressing slowly,"
766 "ma'am.'"
766 ""
766 "'Ya--a--ah!' said my aunt. With such a snarl at him, that Mr. Chillip"
766 "absolutely could not bear it. It was really calculated to break his"
766 "spirit, he said afterwards. He preferred to go and sit upon the stairs,"
766 "in the dark and a strong draught, until he was again sent for."
766 ""
766 "Ham Peggotty, who went to the national school, and was a very dragon at"
766 "his catechism, and who may therefore be regarded as a credible witness,"
766 "reported next day, that happening to peep in at the parlour-door an hour"
766 "after this, he was instantly descried by Miss Betsey, then walking to"
766 "and fro in a state of agitation, and pounced upon before he could make"
766 "his escape. That there were now occasional sounds of feet and voices"
766 "overhead which he inferred the cotton did not exclude, from the"
766 "circumstance of his evidently being clutched by the lady as a victim on"
766 "whom to expend her superabundant agitation when the sounds were loudest."
766 "That, marching him constantly up and down by the collar (as if he had"
766 "been taking too much laudanum), she, at those times, shook him, rumpled"
766 "his hair, made light of his linen, stopped his ears as if she confounded"
766 "them with her own, and otherwise tousled and maltreated him. This was"
766 "in part confirmed by his aunt, who saw him at half past twelve o'clock,"
766 "soon after his release, and affirmed that he was then as red as I was."
766 ""
766 "The mild Mr. Chillip could not possibly bear malice at such a time, if"
766 "at any time. He sidled into the parlour as soon as he was at liberty,"
766 "and said to my aunt in his meekest manner:"
766 ""
766 "'Well, ma'am, I am happy to congratulate you.'"
766 ""
766 "'What upon?' said my aunt, sharply."
766 ""
766 "Mr. Chillip was fluttered again, by the extreme severity of my aunt's"
766 "manner; so he made her a little bow and gave her a little smile, to"
766 "mollify her."
766 ""
766 "'Mercy on the man, what's he doing!' cried my aunt, impatiently. 'Can't"
766 "he speak?'"
766 ""
766 "'Be calm, my dear ma'am,' said Mr. Chillip, in his softest accents."
766 ""
766 "'There is no longer any occasion for uneasiness, ma'am. Be calm.'"
766 ""
766 "It has since been considered almost a miracle that my aunt didn't shake"
766 "him, and shake what he had to say, out of him. She only shook her own"
766 "head at him, but in a way that made him quail."
766 ""
766 "'Well, ma'am,' resumed Mr. Chillip, as soon as he had courage, 'I am"
766 "happy to congratulate you. All is now over, ma'am, and well over.'"
766 ""
766 "During the five minutes or so that Mr. Chillip devoted to the delivery"
766 "of this oration, my aunt eyed him narrowly."
766 ""
766 "'How is she?' said my aunt, folding her arms with her bonnet still tied"
766 "on one of them."
766 ""
766 "'Well, ma'am, she will soon be quite comfortable, I hope,' returned Mr."
766 "Chillip. 'Quite as comfortable as we can expect a young mother to be,"
766 "under these melancholy domestic circumstances. There cannot be any"
766 "objection to your seeing her presently, ma'am. It may do her good.'"
766 ""
766 "'And SHE. How is SHE?' said my aunt, sharply."
766 ""
766 "Mr. Chillip laid his head a little more on one side, and looked at my"
766 "aunt like an amiable bird."
766 ""
766 "'The baby,' said my aunt. 'How is she?'"
766 ""
766 "'Ma'am,' returned Mr. Chillip, 'I apprehended you had known. It's a"
766 "boy.'"
766 ""
766 "My aunt said never a word, but took her bonnet by the strings, in the"
766 "manner of a sling, aimed a blow at Mr. Chillip's head with it, put it on"
766 "bent, walked out, and never came back. She vanished like a discontented"
766 "fairy; or like one of those supernatural beings, whom it was popularly"
766 "supposed I was entitled to see; and never came back any more."
766 ""
766 "No. I lay in my basket, and my mother lay in her bed; but Betsey"
766 "Trotwood Copperfield was for ever in the land of dreams and shadows, the"
766 "tremendous region whence I had so lately travelled; and the light upon"
766 "the window of our room shone out upon the earthly bourne of all such"
766 "travellers, and the mound above the ashes and the dust that once was he,"
766 "without whom I had never been."
766 ""
766 ""
766 ""
766 "<CHAPTER 2. I OBSERVE>"
766 ""
766 ""
766 "The first objects that assume a distinct presence before me, as I look"
766 "far back, into the blank of my infancy, are my mother with her pretty"
766 "hair and youthful shape, and Peggotty with no shape at all, and eyes so"
766 "dark that they seemed to darken their whole neighbourhood in her face,"
766 "and cheeks and arms so hard and red that I wondered the birds didn't"
766 "peck her in preference to apples."
766 ""
766 "I believe I can remember these two at a little distance apart, dwarfed"
766 "to my sight by stooping down or kneeling on the floor, and I going"
766 "unsteadily from the one to the other. I have an impression on my mind"
766 "which I cannot distinguish from actual remembrance, of the touch of"
766 "Peggotty's forefinger as she used to hold it out to me, and of its being"
766 "roughened by needlework, like a pocket nutmeg-grater."
766 ""
766 "This may be fancy, though I think the memory of most of us can go"
766 "farther back into such times than many of us suppose; just as I believe"
766 "the power of observation in numbers of very young children to be quite"
766 "wonderful for its closeness and accuracy. Indeed, I think that most"
766 "grown men who are remarkable in this respect, may with greater propriety"
766 "be said not to have lost the faculty, than to have acquired it; the"
766 "rather, as I generally observe such men to retain a certain freshness,"
766 "and gentleness, and capacity of being pleased, which are also an"
766 "inheritance they have preserved from their childhood."
766 ""
766 "I might have a misgiving that I am 'meandering' in stopping to say this,"
766 "but that it brings me to remark that I build these conclusions, in part"
766 "upon my own experience of myself; and if it should appear from"
766 "anything I may set down in this narrative that I was a child of close"
766 "observation, or that as a man I have a strong memory of my childhood, I"
766 "undoubtedly lay claim to both of these characteristics."
766 ""
766 "Looking back, as I was saying, into the blank of my infancy, the first"
766 "objects I can remember as standing out by themselves from a confusion of"
766 "things, are my mother and Peggotty. What else do I remember? Let me see."
766 ""
766 ""
766 "There comes out of the cloud, our house--not new to me, but quite"
766 "familiar, in its earliest remembrance. On the ground-floor is Peggotty's"
766 "kitchen, opening into a back yard; with a pigeon-house on a pole, in"
766 "the centre, without any pigeons in it; a great dog-kennel in a corner,"
766 "without any dog; and a quantity of fowls that look terribly tall to me,"
766 "walking about, in a menacing and ferocious manner. There is one cock who"
766 "gets upon a post to crow, and seems to take particular notice of me as"
766 "I look at him through the kitchen window, who makes me shiver, he is so"
766 "fierce. Of the geese outside the side-gate who come waddling after"
766 "me with their long necks stretched out when I go that way, I dream at"
766 "night: as a man environed by wild beasts might dream of lions."
766 ""
766 "Here is a long passage--what an enormous perspective I make of"
766 "it!--leading from Peggotty's kitchen to the front door. A dark"
766 "store-room opens out of it, and that is a place to be run past at"
766 "night; for I don't know what may be among those tubs and jars and old"
766 "tea-chests, when there is nobody in there with a dimly-burning light,"
766 "letting a mouldy air come out of the door, in which there is the smell"
766 "of soap, pickles, pepper, candles, and coffee, all at one whiff. Then"
766 "there are the two parlours: the parlour in which we sit of an evening,"
766 "my mother and I and Peggotty--for Peggotty is quite our companion, when"
766 "her work is done and we are alone--and the best parlour where we sit"
766 "on a Sunday; grandly, but not so comfortably. There is something of a"
766 "doleful air about that room to me, for Peggotty has told me--I don't"
766 "know when, but apparently ages ago--about my father's funeral, and the"
766 "company having their black cloaks put on. One Sunday night my mother"
766 "reads to Peggotty and me in there, how Lazarus was raised up from the"
766 "dead. And I am so frightened that they are afterwards obliged to take me"
766 "out of bed, and show me the quiet churchyard out of the bedroom window,"
766 "with the dead all lying in their graves at rest, below the solemn moon."
766 ""
766 "There is nothing half so green that I know anywhere, as the grass of"
766 "that churchyard; nothing half so shady as its trees; nothing half so"
766 "quiet as its tombstones. The sheep are feeding there, when I kneel up,"
766 "early in the morning, in my little bed in a closet within my mother's"
766 "room, to look out at it; and I see the red light shining on the"
766 "sun-dial, and think within myself, 'Is the sun-dial glad, I wonder, that"
766 "it can tell the time again?'"
766 ""
766 "Here is our pew in the church. What a high-backed pew! With a window"
766 "near it, out of which our house can be seen, and IS seen many times"
766 "during the morning's service, by Peggotty, who likes to make herself"
766 "as sure as she can that it's not being robbed, or is not in flames. But"
766 "though Peggotty's eye wanders, she is much offended if mine does,"
766 "and frowns to me, as I stand upon the seat, that I am to look at the"
766 "clergyman. But I can't always look at him--I know him without that white"
766 "thing on, and I am afraid of his wondering why I stare so, and perhaps"
766 "stopping the service to inquire--and what am I to do? It's a dreadful"
766 "thing to gape, but I must do something. I look at my mother, but she"
766 "pretends not to see me. I look at a boy in the aisle, and he makes faces"
766 "at me. I look at the sunlight coming in at the open door through"
766 "the porch, and there I see a stray sheep--I don't mean a sinner, but"
766 "mutton--half making up his mind to come into the church. I feel that"
766 "if I looked at him any longer, I might be tempted to say something out"
766 "loud; and what would become of me then! I look up at the monumental"
766 "tablets on the wall, and try to think of Mr. Bodgers late of this"
766 "parish, and what the feelings of Mrs. Bodgers must have been, when"
766 "affliction sore, long time Mr. Bodgers bore, and physicians were in"
766 "vain. I wonder whether they called in Mr. Chillip, and he was in vain;"
766 "and if so, how he likes to be reminded of it once a week. I look from"
766 "Mr. Chillip, in his Sunday neckcloth, to the pulpit; and think what a"
766 "good place it would be to play in, and what a castle it would make, with"
766 "another boy coming up the stairs to attack it, and having the velvet"
766 "cushion with the tassels thrown down on his head. In time my eyes"
766 "gradually shut up; and, from seeming to hear the clergyman singing a"
766 "drowsy song in the heat, I hear nothing, until I fall off the seat with"
766 "a crash, and am taken out, more dead than alive, by Peggotty."
766 ""
766 "And now I see the outside of our house, with the latticed"
766 "bedroom-windows standing open to let in the sweet-smelling air, and the"
766 "ragged old rooks'-nests still dangling in the elm-trees at the bottom"
766 "of the front garden. Now I am in the garden at the back, beyond the"
766 "yard where the empty pigeon-house and dog-kennel are--a very preserve"
766 "of butterflies, as I remember it, with a high fence, and a gate and"
766 "padlock; where the fruit clusters on the trees, riper and richer than"
766 "fruit has ever been since, in any other garden, and where my"
766 "mother gathers some in a basket, while I stand by, bolting furtive"
